排名,书名,作者,出版社,出版时间,评分,评价人数,简介,封面链接
,红楼梦,[清] 曹雪芹 著,人民文学出版社,1996-12,9.7,465785,都云作者痴，谁解其中味？,
,活着,余华,作家出版社,2012-8,9.4,919480,生的苦难与伟大,
,哈利·波特,[英] J·K·罗琳,人民文学出版社,2008-12,9.7,137568,从9¾站台开始的旅程,
,1984,[英] 乔治·奥威尔,28.00,2010-4-1,9.4,313040,栗树荫下，我出卖你，你出卖我,
,"三体全集

                
                   : 地球往事三部曲",刘慈欣,重庆出版社,2012-1,9.5,217660,地球往事三部曲,
,百年孤独,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2011-6,9.3,476558,魔幻现实主义文学代表作,
,飘,[美国] 玛格丽特·米切尔,译林出版社,2000-9,9.3,229860,革命时期的爱情，随风而逝,
,动物农场,[英] 乔治·奥威尔,上海译文出版社,2007-3,9.3,182262,太阳底下并无新事,
,房思琪的初恋乐园,林奕含,北京联合出版公司,2018-2,9.2,425110,向死而生的文学绝唱,
,三国演义（全二册）,[明] 罗贯中,人民文学出版社,1998-05,9.3,184035,是非成败转头空,
,福尔摩斯探案全集,[英] 阿·柯南道尔,53.00元,1981-8,9.3,146541,名侦探的代名词,
,白夜行,[日] 东野圭吾,南海出版公司,2013-1-1,9.2,534482,一宗离奇命案牵出跨度近20年步步惊心的故事,
,邓小平时代,[美] 傅高义,生活·读书·新知三联书店,2013-1-18,9.4,88101,个人命运背后的历史变局,
,呐喊,鲁迅,人民文学出版社,1973-3,9.2,178643,新文学的第一声呐喊,
,小王子,[法国] 安东尼·德·圣-埃克苏佩里,人民文学出版社,2003-8,9.1,800228,献给长成了大人的孩子们,
,安徒生童话故事集,[丹麦] 安徒生,人民文学出版社,1997-08,9.3,144917,为了争取未来的一代,
,卡拉马佐夫兄弟,陀思妥耶夫斯基 (Ф.М.Достоевский),CNY 78.00,2015-2-1,9.6,53729,,
,"失踪的孩子

                
                   : 那不勒斯四部曲4",[意] 埃莱娜·费兰特,人民文学出版社,2018-7,9.2,101809,我的整个生命，只是一场为了提升社会地位的低俗斗争。,
,撒哈拉的故事,三毛,哈尔滨出版社,2003-8,9.2,199984,游荡的自由灵魂,
,天龙八部,金庸,生活·读书·新知三联书店,1994-5,9.2,141351,有情皆孽，无人不冤,
,"新名字的故事

                
                   : 那不勒斯四部曲2",[意] 埃莱娜·费兰特,人民文学出版社,2017-4,9.2,113337,探索青年时代的激情、困惑、挣扎、背叛和失去,
,杀死一只知更鸟,[美] 哈珀·李,译林出版社,2012-9,9.2,163388,有一种东西不能遵循从众原则，那就是——人的良心,
,"明朝那些事儿（1-9）

                
                   : 限量版",当年明月,中国海关出版社,2009-4,9.2,204217,不拘一格的历史书写,
,野草,鲁迅,人民文学出版社,1973-3,9.5,56308,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。,
,罗杰疑案,[英] 阿加莎·克里斯蒂 (Dame Agatha Christie),新星出版社,2013-3,9.2,102041,,
,中国历代政治得失,钱穆,生活·读书·新知三联书店,2001,9.2,84053,一部简明的“中国政治制度史”,
,"沉默的大多数

                
                   : 王小波杂文随笔全编",王小波,中国青年出版社,1997-10,9.1,161584,沉默是沉默者的通行证,
,"我与地坛

                
                   : 史铁生代表作",史铁生,春风文艺出版社,2002-5,9.2,132339,这是你的罪孽与福祉,
,彷徨,鲁迅,人民文学出版社,1973-3,9.3,75645,路漫漫其修远兮，吾将上下而求索,
,许三观卖血记,余华,作家出版社,2012-9,9.2,203679,,
,"白鹿原

                
                   : 20周年精装典藏版",陈忠实,人民文学出版社,2012-9,9.2,127889,一轴关于我们民族灵魂的现实主义画卷,
,局外人,[法] 阿尔贝·加缪,上海译文出版社,2010-8,9.1,274934,人生在世，永远也不该演戏作假,
,"悉达多

                
                   : 一首印度的诗",[德] 赫尔曼·黑塞,天津人民出版社,2017-1,9.1,182280,,
,乡土中国,费孝通,38.00,2006-4,9.2,109500,中国乡土社会传统文化和社会结构理论研究代表作,
,"人类简史

                
                   : 从动物到上帝",[以色列] 尤瓦尔·赫拉利,中信出版社,2014-11,9.1,215737,跟着人类一同走过十万年,
,平凡的世界（全三部）,路遥,人民文学出版社,2005-1,9.0,342247,中国当代城乡生活全景,
,献给阿尔吉侬的花束,[美] 丹尼尔·凯斯,广西师范大学出版社,2015-4,9.1,138075,当声称能改造智能的科学实验选中心智障碍主角,
,围城,钱锺书,19.00,1991-2,9.0,462514,,
,笑傲江湖（全四册）,金庸,生活·读书·新知三联书店,1994-5,9.1,118641,欲练此功，必先自宫,
,故事新编,鲁迅,0.31 元,1973-12-01,9.5,52288,拾取古代传说，取一点因由，随意点染,
,东方快车谋杀案,[英] 阿加莎·克里斯蒂,人民文学出版社,2006-5,9.1,154778,谋杀诡计惊人，波洛的抉择耐人寻味,
,"城南旧事

                
                   : 纪念普及版",林海音 文,中国青年出版社,2003-7,9.1,171813,长亭外，古道边，芳草碧连天,
,肖申克的救赎,[美] 斯蒂芬·金,人民文学出版社,2006-7,9.1,130713,豆瓣电影Top1原著,
,江城,[美] 彼得·海斯勒,上海译文出版社,2012-1,9.1,70324,外国人眼中的涪陵,
,基督山伯爵,[法国] 大仲马,上海译文出版社,1991-12-1,9.1,138377,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景,
,朝花夕拾,鲁迅,人民文学出版社,1973-4,9.1,174253,在纷扰中寻出一点闲静,
,艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich),280.00,2008-04,9.5,29543,从最早的洞窟绘画到当今的实验艺术,
,万历十五年,[美] 黄仁宇,生活·读书·新知三联书店,1997-5,9.0,218769,见微知著，历史观的颠覆,
,霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2012-9-1,9.0,312253,义无反顾地直达爱情的核心,
,"厌女

                
                   : 日本的女性嫌恶",上野千鹤子,上海三联书店,2015-1,9.1,95752,,
,"置身事内

                
                   : 中国政府与经济发展",兰小欢,上海人民出版社,2021-8,9.1,106677,,
,射雕英雄传,金庸,生活·读书·新知三联书店,1999-04,9.1,92798,侠之大者，为国为民,
,月亮和六便士,[英] 毛姆,上海译文出版社,2006-8,9.0,225510,有多少人会经历顿悟，就有更少的人甘愿自我放逐,
,西游记（全二册）,吴承恩,人民文学出版社,2004-8,9.1,103245,神魔皆有人情，精魅亦通世故,
,无人生还,[英] 阿加莎·克里斯蒂,19.00,2008-3,9.0,169007,童谣杀人案,
,树上的男爵,[意大利]伊塔洛·卡尔维诺,译林出版社,2012-4-1,9.1,71948,是不是真的只有先与人疏离，才能最终与他们在一起？,
,追风筝的人,[美] 卡勒德·胡赛尼,上海人民出版社,2006-5,8.9,828048,为你，千千万万遍,
,秋园,杨本芬,北京联合出版公司,2020-6,9.0,148924,,
,"寻路中国

                
                   : 从乡村到工厂的自驾之旅",[美] 彼得·海斯勒,上海译文出版社,2011-1,9.0,61494,《纽约客》驻北京记者驾车漫游中国大陆的经历,
,刀锋,[英] 毛姆,上海译文出版社,2007-3,9.0,102340,一把刀的锋刃不容易越过；因此智者说得救之道是困难的,
,中国少年儿童百科全书（全四册）,林崇德 主编,浙江教育出版社,1991-4,9.4,21525,,
,格林童话全集,[德]格林兄弟,人民文学出版社,1994-11,9.1,102331,一本有教育意义的书,
,"可能性的艺术

                
                   : 比较政治学30讲",刘瑜,广西师范大学出版社,2022-4,9.2,51169,,
,太白金星有点烦,马伯庸,45.00,2023-6,9.0,151189,,
,一间只属于自己的房间,[英] 弗吉尼亚·伍尔夫,天津人民出版社,2019-10,9.2,61016,,
,刘擎西方现代思想讲义,刘擎,新星出版社,2021-1,9.2,46399,,
,鼠疫,[法] 阿尔贝·加缪,上海译文出版社,2013-8,9.1,95803,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理,
,孽子,白先勇,广西师范大学出版社,2010-10,9.2,59576,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们,
,"南京大屠杀

                
                   : 第二次世界大战中被遗忘的大浩劫",[美]张纯如（Iris Chang）,中信出版社,2015-8,9.7,29744,,
,四世同堂,老舍,北京十月文艺出版社,2008-7,9.4,48570,北平沦陷时代广大平民的悲惨遭遇,
,嫌疑人X的献身,[日] 东野圭吾,28.00,2008-9,8.9,554673,数学好是一种极致的浪漫,
,"黄金时代

                
                   : 时代三部曲",王小波,花城出版社,1999-3,8.9,174182,我想爱，想吃，还想在一瞬间变成天上半明半暗的云,
,傲慢与偏见,[英] 奥斯丁,人民文学出版社,1993-7,8.9,244352,所有现代言情小说的母体,
,毛泽东选集,毛泽东,人民出版社,1991-6,9.6,39231,,
,台北人,白先勇,广西师范大学出版社,2010-10,9.0,84654,白先勇短篇小说集,
,史记（全十册）,（汉）司马迁,125.00,1982-11,9.6,27629,史家之绝唱，无韵之离骚,
,悲惨世界（上中下）,[法] 雨果,人民文学出版社,1992-6,9.1,67557,现实主义与浪漫主义的至高杰作,
,美丽新世界,【英】奥尔德斯·赫胥黎,上海译文出版社,2017-6,9.1,73341,,
,诗经,孔丘 编订,北京出版社,2006-7,9.5,32150,思无邪,
,流俗地,【马来西亚】黎紫书,北京十月文艺出版社,2021-4-1,9.1,46125,,
,一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼,四川文艺出版社,2015-12,9.1,82197,这个发生在瑞典的故事，如生命庆典般绚丽斑斓,
,"永恒的终结

                
                   : 关于时间旅行的终极奥秘和恢宏构想",[美] 艾萨克·阿西莫夫,江苏凤凰文艺出版社,2014-9,9.1,55086,关于时间旅行的终极奥秘和恢宏构想,
,明亮的夜晚,[韩]崔恩荣,52,2023-8,9.0,74391,,
,绝叫,[日] 叶真中显,北京联合出版公司,2020-7,8.9,153180,,
,"始于极限

                
                   : 女性主义往复书简",[日] 上野千鹤子,新星出版社,2022-9-20,9.0,86065,,
,神雕侠侣,金庸,生活·读书·新知三联书店,1994-5,8.9,107059,至情至性，情大于武,
,唐诗三百首,蘅塘退士,0.65,1984-07-01,9.4,30874,熟读唐诗三百首，不会吟诗也会吟,
,灿烂千阳,[美] 卡勒德·胡赛尼,上海人民出版社,2007-9,8.9,134822,唯有希望与爱可以驱散阴霾,
,"历史深处的忧虑

                
                   : 近距离看美国之一",林达,生活·读书·新知三联书店,1997-5,9.0,48138,窥见美国社会的一扇窗,
,美的历程,李泽厚,生活·读书·新知三联书店,2009-7,9.2,36586,中国美学经典之作,
,"筚路维艰

                
                   : 中国社会主义路径的五次选择",萧冬连,社会科学文献出版社,2014-10,9.5,25262,,
,窗边的小豆豆,[日] 黑柳彻子 著,南海出版公司,2003-1,8.9,226815,真正懂孩子的教育经,
,"最好的告别

                
                   : 关于衰老与死亡，你必须知道的常识",[美] 阿图·葛文德（Atul Gawande）,浙江人民出版社,2015-7-31,9.0,57261,关于衰老与死亡，你必须知道的常识,
,西线无战事,[德] 埃里希·玛丽亚·雷马克,上海文艺出版社,2021-1,9.4,32284,,
,冬牧场,李娟,新星出版社,2012-6,9.1,49099,阿勒泰的精灵,
,"上帝掷骰子吗

                
                   : 量子物理史话",曹天元,辽宁教育出版社,2006-1,9.2,37298,量子物理史话,
,"呼兰河传

                
                   : 1947年版本・原版珍藏",萧红,19.00,2005-01,9.0,91139,萧红的童年往事,
,"棋王·树王·孩子王

                
                   : 阿城文集 之一",阿城,58.00,2016-3-1,9.3,36379,,
,"离开的，留下的

                
                   : 那不勒斯四部曲3",[意] 埃莱娜·费兰特,人民文学出版社,2017-10,8.9,92953,探索中年的虚无、困惑、野心和近乎残暴的爱,
,哭泣的骆驼,三毛,哈尔滨出版社,2003-6,9.0,61099,沙漠中寻常的生与死,
