酒店名,星级,酒店ID,评分,点评数,评语,价格,原价,房型名,房型描述,封面图,地址
AnmanFlowerRoomHotel|安漫花间酒店(昆明火车站店),4,133456930,4.9,637条点评,超棒,¥427,¥535,凤鸣affordable Luxury温馨大床房,凤鸣affordable Luxury温馨大床房 1张1.8米大床 [免费取消; 包早餐],https://dimg04.c-ctrip.com/images/0201312000r7elnmh48C6_R_600_600_R5_D.jpg_.webp,永安路43号
维也纳国际酒店(昆明高铁南站市政府店),4,58774983,4.8,"5,040条点评",超棒,¥284,¥376,豪华大床房【徕芬吹风机+高弹加厚床垫+凉感夏凉被】,豪华大床房【徕芬吹风机+高弹加厚床垫+凉感夏凉被】 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc6r12000rzk9mov7145_R_600_600_R5_D.jpg_.webp,景明北路晨农商务中心2号楼
昆明滇池后海城际酒店,4,132378687,4.8,570条点评,超棒,¥338,¥398,城际高级房-大床（智能客控+观滇咖饮＋空中秘境view）,城际高级房-大床（智能客控+观滇咖饮＋空中秘境view） 1张1.8米大床 [免费取消; 包早餐],https://dimg04.c-ctrip.com/images/0582q12000sqsfkc48DD5_R_600_600_R5_D.jpg_.webp,碧鸡路书香云海赋学苑10栋26层
云曼轻奢酒店(昆明学院富康城购物中心店),3,80314494,4.7,"1,025条点评",超棒,¥115,¥242,云宿·悦享雅致大床房（金可儿床垫+智能客控+茶桌）,云宿·悦享雅致大床房（金可儿床垫+智能客控+茶桌） 1张1.51米大床 [免费取消],https://dimg04.c-ctrip.com/images/02031120008xrgjza16E7_R_600_600_R5_D.jpg_.webp,阿拉街道浦新路骏信国际汽配城一期A4幢2楼
美豪丽致酒店(昆明长水国际机场店),4,125423976,4.7,"4,285条点评",超棒,¥179,¥225,雅致·城景大床房｜全屋智能&落地窗&零压床垫,雅致·城景大床房｜全屋智能&落地窗&零压床垫 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc4r12000hx8lyrpE869_R_600_600_R5_D.jpg_.webp,大板桥街道办事处板桥社区工业园区沙沟段贝尔乐杏园幼儿园对面
俊汉智慧酒店(昆明火车站塘子巷地铁站店),3,120813543,4.6,"2,208条点评",很好,¥226,¥322,俊悦大床房【智能语音+智能电动窗帘+恒温智能马桶+高定款舒眠零压床垫+深睡记忆枕+助眠耳塞】,俊悦大床房【智能语音+智能电动窗帘+恒温智能马桶+高定款舒眠零压床垫+深睡记忆枕+助眠耳塞】 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc0212000r0w02s8E159_R_600_600_R5_D.jpg_.webp,拓东街道办事处拓东路90号
昆明滇池度假区滇池路亚朵S酒店,4,128222168,4.8,819条点评,超棒,¥526,,高级大床房（深睡床品+小冰箱）,高级大床房（深睡床品+小冰箱） 1张1.8米大床,https://dimg04.c-ctrip.com/images/1mc2512000kf9dd0jFD00_R_600_600_R5_D.jpg_.webp,滇池路1300号
昆明中心皇冠假日酒店(南屏街店),5,838539,4.7,"4,597条点评",超棒,¥610,,高级大床房,高级大床房 1张2米特大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc1j12000k5j0rhm3042_R_600_600_R5_D.jpg_.webp,青年路399号
龚禧里·GAME电竞酒店(金马碧鸡坊弥勒寺地铁站店),3,79563239,4.6,"1,191条点评",很好,¥193,¥212,普通电竞大床房[RTX4060Ti显卡+傲风电竞椅+2K144hz电竞屏+LOL/Steam特权+雷神加速器]+冰箱+新风系统,普通电竞大床房[RTX4060Ti显卡+傲风电竞椅+2K144hz电竞屏+LOL/Steam特权+雷神加速器]+冰箱+新风系统 1张1.5米双人床 [免费取消; 包早餐],https://dimg04.c-ctrip.com/images/0203p120009kjx3v9BA10_R_600_600_R5_D.jpg_.webp,西坝路22号
云境酒店(昆明高铁南站联大街地铁站店),2,114673255,4.5,920条点评,很好,¥116,¥168,浮岛LOFT套房（100寸巨幕+智能客控+零压床垫+落地玻璃,浮岛LOFT套房（100寸巨幕+智能客控+零压床垫+落地玻璃 1张1.81米特大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc1112000eqr36365DD9_R_600_600_R5_D.jpg_.webp,联大街中通世纪18栋2楼
云慢居酒店(昆明老街南屏步行街店),2,133289580,4.8,630条点评,超棒,¥348,¥431,云慢·青林大床房（新风系统+加湿器+零压床）,云慢·青林大床房（新风系统+加湿器+零压床） 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc0z12000s2pn4f9BAE9_R_600_600_R5_D.jpg_.webp,护国街道办事处正义路95号2楼
喆啡酒店(昆明拓东体育馆地铁站店),3,121865481,4.7,"1,356条点评",超棒,¥219,¥258,标准大床房,标准大床房 1张1.5米双人床 [免费取消],https://dimg04.c-ctrip.com/images/0206312000esogiomAD1E_R_600_600_R5_D.jpg_.webp,拓东街道东风东路118号
昆明长水国际机场丽呈酒店,4,114774590,4.7,"5,119条点评",超棒,¥146,¥209,高级双人房|全景落地窗+高速吹风机+智能客控,高级双人房|全景落地窗+高速吹风机+智能客控 2张1.2米单人床 [免费取消],https://dimg04.c-ctrip.com/images/0200y12000coeq7nc93B1_R_600_600_R5_D.jpg_.webp,滇中新区长水街道大板桥开发区170号
留白酒店(昆明老街南屏步行街店),2,131708310,4.8,498条点评,超棒,¥317,¥612,空明影音智能大床房（投影会员+空调+徕芬吹风机）,空明影音智能大床房（投影会员+空调+徕芬吹风机） 1张1.8米大床 [订单确认后30分钟内免费取消],https://dimg04.c-ctrip.com/images/1mc2b12000ntxex7d04C2_R_600_600_R5_D.jpg_.webp,护国街道办事处宝善街52号1幢8楼
缦云端民宿·Clouds villa·度假别墅(昆明滇池海埂大坝店),2,125785749,4.9,412条点评,超棒,¥204,¥246,妮咔-观景露台迷你房[智能+TOTO+山景+鹅绒被+蕾丝床垫,妮咔-观景露台迷你房[智能+TOTO+山景+鹅绒被+蕾丝床垫 1张1.5米双人床 [免费取消; 包早餐],https://dimg04.c-ctrip.com/images/1mc3l12000r3bycj4B5E8_R_600_600_R5_D.jpg_.webp,观景路18号春城首府23栋D号
昆明南屏步行街金马碧鸡坊一方居设计师别院,4,133686376,4.7,622条点评,超棒,¥380,¥388,雅奢大床房「全配智能马桶+全配遮光窗帘+Minibar」,雅奢大床房「全配智能马桶+全配遮光窗帘+Minibar」 1张1.81米特大床 [订单确认后30分钟内免费取消],https://dimg04.c-ctrip.com/images/1mc1212000rlxus1r01D2_R_600_600_R5_D.jpg_.webp,金碧街道办事处东寺街东西寺塔步行街北院2号
昆明海丽宾雅万达嘉华温泉酒店,5,438006,4.7,"7,335条点评",超棒,¥588,¥728,温泉豪华双床房（温泉水+观景大阳台）,温泉豪华双床房（温泉水+观景大阳台） 2张1.2米单人床 [包早餐],https://dimg04.c-ctrip.com/images/1mc1d12000s9ibc3vFF09_R_600_600_R5_D.jpg_.webp,官南大道2649号
昆明火车站南希尔顿花园酒店,4,129961565,4.8,"1,991条点评",超棒,¥408,¥489,高级大床房【康乃馨床品+金可儿床垫+挂烫机】,高级大床房【康乃馨床品+金可儿床垫+挂烫机】 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc3a12000spmw2flB5E2_R_600_600_R5_D.jpg_.webp,巫家坝新区春城路292号龙湖时代金融中心A座
昆明老街五一路亚朵X酒店,4,826409,4.7,"4,246条点评",超棒,¥605,,雅致大床房(65寸4K投屏+裸棉床品+智能马桶),雅致大床房(65寸4K投屏+裸棉床品+智能马桶) 1张1.8米大床,https://dimg04.c-ctrip.com/images/1mc6z12000lyj9bjf2E71_R_600_600_R5_D.jpg_.webp,东风西路96号
全季酒店(昆明呈贡斗南花市店),3,1102593,4.8,"3,718条点评",超棒,¥358,¥377,高级大床房（金可儿床垫+电视投屏）,高级大床房（金可儿床垫+电视投屏） 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc4n12000bnj0usf2344_R_600_600_R5_D.jpg_.webp,瑞香西街与金桂街交叉口西北角
無二乐居酒店(昆明老街南屏步行街店),3,126920424,4.8,"1,750条点评",超棒,¥329,¥491,UNIQUE-伍-潮流复古大床房（ 百寸投影+冰箱 ）,UNIQUE-伍-潮流复古大床房（ 百寸投影+冰箱 ） 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc0q12000iyraddqA504_R_600_600_R5_D.jpg_.webp,正义路95号5楼
麗枫酒店(昆明云大医院市体育馆地铁站店),3,57249316,4.7,"5,257条点评",超棒,¥282,¥298,标准大床房-享城市核心,标准大床房-享城市核心 1张2米特大床 [免费取消],https://dimg04.c-ctrip.com/images/0205h1200091qveer0B63_R_600_600_R5_D.jpg_.webp,人民西路207号保利六合2栋
昆明官渡古镇省博物馆艺龙酒店,3,134345554,4.8,89条点评,超棒,¥165,¥261,清筑听雨大床房（窗外古镇风光+智能客控+干湿分离卫浴）,清筑听雨大床房（窗外古镇风光+智能客控+干湿分离卫浴） 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/0200c12000s8bi23i5860_R_600_600_R5_D.jpg_.webp,广福路官渡古镇C区8栋一楼1号
昆明翠湖云南大学亚朵酒店,4,68101895,4.7,"3,533条点评",超棒,¥605,,雅致大床房,雅致大床房 1张1.8米大床,https://dimg04.c-ctrip.com/images/0200u1200086i7sesE4E4_R_600_600_R5_D.jpg_.webp,圆通街39号
昆明官渡海乐世界希尔顿欢朋酒店,4,115632377,4.8,"3,182条点评",超棒,¥428,,舒适大床房【深睡记忆枕+晚间茶歇】,舒适大床房【深睡记忆枕+晚间茶歇】 1张1.8米大床 [包早餐],https://dimg04.c-ctrip.com/images/1mc1012000ctl88jz407C_R_600_600_R5_D.jpg_.webp,永中路海伦国际3号地1座
昆明西山区大观公园亚朵酒店,4,77244861,4.8,"2,221条点评",超棒,¥429,,高级大床房（快眠记忆枕+普兰特床垫+THANKY洗护沐）,高级大床房（快眠记忆枕+普兰特床垫+THANKY洗护沐） 1张1.8米大床,https://dimg04.c-ctrip.com/images/0201s120008r0n42v1900_R_600_600_R5_D.jpg_.webp,西园路718号1幢
昆明云畔客栈(滇池海埂大坝店),2,125759216,4.6,170条点评,很好,¥168,¥259,舒适·阳台大床房（智能马桶+干湿分离+露台）,舒适·阳台大床房（智能马桶+干湿分离+露台） 1张1.81米特大床 [订单确认后30分钟内免费取消],https://dimg04.c-ctrip.com/images/1mc3t12000sbpsez62F27_R_600_600_R5_D.jpg_.webp,滇池度假区怡景社区迎海路12号阳光海岸小区象牙海岸48栋
云曼轻奢酒店(昆明学院富康城购物中心店),3,80314494,4.7,"1,025条点评",超棒,¥115,¥242,云宿·悦享雅致大床房（金可儿床垫+智能客控+茶桌）,云宿·悦享雅致大床房（金可儿床垫+智能客控+茶桌） 1张1.51米大床 [免费取消],https://dimg04.c-ctrip.com/images/02031120008xrgjza16E7_R_600_600_R5_D.jpg_.webp,阿拉街道浦新路骏信国际汽配城一期A4幢2楼
七零•SongInn酒店(巫家坝地铁站巫家坝中央公园店),3,130930965,4.7,201条点评,超棒,¥246,¥259,流年·栖云大床房丨120°空旷城景+恒温马桶,流年·栖云大床房丨120°空旷城景+恒温马桶 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc6n12000nbwip0e3503_R_600_600_R5_D.jpg_.webp,和美路保利天际二期4栋
城市便捷酒店(昆明老街南屏步行街店),3,115639793,4.6,"2,387条点评",很好,¥246,¥341,智能大床房（全屋智能｜手机无线投屏｜零压记忆枕）,智能大床房（全屋智能｜手机无线投屏｜零压记忆枕） 1张1.5米双人床 [免费取消],https://dimg04.c-ctrip.com/images/1mc4m12000q1c2hi5174B_R_600_600_R5_D.jpg_.webp,北京路547号
德庭花园酒店(昆明高新西城时代店),4,68030978,4.9,"6,873条点评",超棒,¥343,¥461,浪漫浴缸影音房（泡浴观影双重享受）,浪漫浴缸影音房（泡浴观影双重享受） 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc1b12000ckc1p5sD7F3_R_600_600_R5_D.jpg_.webp,滇缅大道2497号
全季酒店(昆明前兴路大商汇店),3,30003169,4.7,"1,691条点评",超棒,¥293,¥312,高级大床房（超长休憩沙发+功夫茶歇区）,高级大床房（超长休憩沙发+功夫茶歇区） 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/280611000000qan4h216C_R_600_600_R5_D.jpg_.webp,前兴路289号护拥社区综合楼2号楼
龚禧里·GAME电竞酒店(金马碧鸡坊弥勒寺地铁站店),3,79563239,4.6,"1,191条点评",很好,¥193,¥212,普通电竞大床房[RTX4060Ti显卡+傲风电竞椅+2K144hz电竞屏+LOL/Steam特权+雷神加速器]+冰箱+新风系统,普通电竞大床房[RTX4060Ti显卡+傲风电竞椅+2K144hz电竞屏+LOL/Steam特权+雷神加速器]+冰箱+新风系统 1张1.5米双人床 [免费取消; 包早餐],https://dimg04.c-ctrip.com/images/0203p120009kjx3v9BA10_R_600_600_R5_D.jpg_.webp,西坝路22号
CitiGO欢阁酒店(昆明老街翠湖公园店),4,29867757,4.8,"5,878条点评",超棒,¥391,¥689,欢阁大床房【享森林氧吧+高奢床垫+汉斯格雅高奢淋浴】,欢阁大床房【享森林氧吧+高奢床垫+汉斯格雅高奢淋浴】 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/200b11000000rjuhhB8E3_R_600_600_R5_D.jpg_.webp,翠湖东路16号
昆明饭店(昆明老街南屏步行街店),4,434746,4.2,"2,409条点评",,¥198,,邂逅南楼大床房,邂逅南楼大床房 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc2012000gwrk0il51CE_R_600_600_R5_D.jpg_.webp,东风东路52号
那佳Master NARKA空间设计师庭院庄园(昆明长水国际机场店),4,130225355,4.7,"1,472条点评",超棒,¥149,¥174,铂瑞豪华大床房,铂瑞豪华大床房 1张1.8米大床 [订单确认后30分钟内免费取消],https://dimg04.c-ctrip.com/images/1mc5i12000sfalzqy1A60_R_600_600_R5_D.jpg_.webp,滇中新区长水街道办事处金浑公路复兴社区居委会复兴村103号附一号
昆明官渡华美达安可酒店,4,110614228,4.7,"5,002条点评",超棒,¥270,¥330,温馨大床房,温馨大床房 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc3m12000brro8nkC8FE_R_600_600_R5_D.jpg_.webp,永平路51号鑫都韵城4幢1层
昆明长水国际机场丽呈酒店,4,114774590,4.7,"5,119条点评",超棒,¥146,¥209,高级双人房|全景落地窗+高速吹风机+智能客控,高级双人房|全景落地窗+高速吹风机+智能客控 2张1.2米单人床 [免费取消],https://dimg04.c-ctrip.com/images/0200y12000coeq7nc93B1_R_600_600_R5_D.jpg_.webp,滇中新区长水街道大板桥开发区170号
凯斯特酒店(昆明万达广场店),2,19655337,4.8,288条点评,超棒,¥235,,商旅行政大床房【慕思床品+记忆软枕】,商旅行政大床房【慕思床品+记忆软枕】 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc1m12000o9nctk73E76_R_600_600_R5_D.jpg_.webp,前卫西路绿地大成天地22-5栋15楼
嘉盛酒店(昆明高铁南站七彩云南第壹城店),3,125748697,4.8,"1,350条点评",超棒,¥155,,美美睡阳光双床房（全屋声控+冷暖空调+可拼床）,美美睡阳光双床房（全屋声控+冷暖空调+可拼床） 2张1.2米单人床 [免费取消],https://dimg04.c-ctrip.com/images/1mc1f12000odilbbdEFD8_R_600_600_R5_D.jpg_.webp,乌龙街道办事处滇池明珠广场二期5栋123商铺
昆明华顾酒店(长水国际机场铂港现代广场店),4,108680832,4.8,"6,731条点评",超棒,¥161,¥195,优享双床房（智能小爱管家+深睡眠零压床）,优享双床房（智能小爱管家+深睡眠零压床） 2张1.35米双人床 [免费取消],https://dimg04.c-ctrip.com/images/1mc7212000eyye50i7B82_R_600_600_R5_D.jpg_.webp,空港大道铂港现代广场一栋一楼1009号
喆啡酒店(昆明火车站环城南路地铁站店),3,1463395,4.7,"5,647条点评",超棒,¥241,¥338,标准大床房,标准大床房 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/200b1c000001d7fcn0D58_R_600_600_R5_D.jpg_.webp,永安路120号
昆明火车站南希尔顿花园酒店,4,129961565,4.8,"1,991条点评",超棒,¥408,¥489,高级大床房【康乃馨床品+金可儿床垫+挂烫机】,高级大床房【康乃馨床品+金可儿床垫+挂烫机】 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc3a12000spmw2flB5E2_R_600_600_R5_D.jpg_.webp,巫家坝新区春城路292号龙湖时代金融中心A座
麗枫酒店(昆明火车站店),3,60182943,4.7,"5,880条点评",超棒,¥275,¥278,标准大床房,标准大床房 1张1.5米双人床 [免费取消],https://dimg04.c-ctrip.com/images/20091f000001g8nzs179F_R_600_600_R5_D.jpg_.webp,太和街道永平路51号鑫都韵城4号楼
昆明悦风吟花园酒店(长水机场店),2,108948139,4.5,"4,774条点评",很好,¥69,¥132,丽悦·美致花语大床房（无空调）,丽悦·美致花语大床房（无空调） 1张1.51米大床 [免费取消],https://dimg04.c-ctrip.com/images/0580a12000snoy1c31607_R_600_600_R5_D.jpg_.webp,机场西一路与长港中路交叉口西100米
昆明长水国际机场云立方亚朵酒店,4,121181368,4.8,"2,645条点评",超棒,¥350,,高级大床房【深睡记忆枕+65寸投屏+无线快充+新风机】,高级大床房【深睡记忆枕+65寸投屏+无线快充+新风机】 1张1.8米大床,https://dimg04.c-ctrip.com/images/1mc6u12000hztvvkkBF41_R_600_600_R5_D.jpg_.webp,长水航城云立方6栋
江野连锁酒店(昆明站店),3,133685101,4.8,611条点评,超棒,¥243,¥376,云野大床房【助眠记忆枕+羽绒被+立式大空调】,云野大床房【助眠记忆枕+羽绒被+立式大空调】 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc1k12000rp1dd5tCADE_R_600_600_R5_D.jpg_.webp,站前路402号
昆明官渡古镇省博物馆艺龙酒店,3,134345554,4.8,89条点评,超棒,¥165,¥261,清筑听雨大床房（窗外古镇风光+智能客控+干湿分离卫浴）,清筑听雨大床房（窗外古镇风光+智能客控+干湿分离卫浴） 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/0200c12000s8bi23i5860_R_600_600_R5_D.jpg_.webp,广福路官渡古镇C区8栋一楼1号
昆明豪生Life酒店(昆明火车站双桥夜市风情街店),4,121048794,4.8,"2,766条点评",超棒,¥439,¥505,舒适大床房|金可儿舒睡床垫·茶点·城景mini吧,舒适大床房|金可儿舒睡床垫·茶点·城景mini吧 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/0206312000ekkwgf12552_R_600_600_R5_D.jpg_.webp,日新路1531号
昆明盘龙希尔顿惠庭酒店,4,125753813,4.8,"1,858条点评",超棒,¥498,,舒适大床房（智能马桶+电视投屏+冰箱微波炉）,舒适大床房（智能马桶+电视投屏+冰箱微波炉） 1张1.5米双人床 [免费取消; 包早餐],https://dimg04.c-ctrip.com/images/0205c12000i0j04ks9FAD_R_600_600_R5_D.jpg_.webp,白云路416号
昆明豪生Club酒店(万象城菊华地铁站店),4,133974085,4.7,60条点评,超棒,¥345,¥432,Busines丨雅致高级大床房-零压床垫-全屋智能-小冰箱,Busines丨雅致高级大床房-零压床垫-全屋智能-小冰箱 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc0t12000slmfjotD3AE_R_600_600_R5_D.jpg_.webp,金马路与凉亭中路交叉口北约50米
美豪酒店(昆明火车站北京路北广场店),3,112893307,4.7,"2,653条点评",超棒,¥324,¥652,对望·都市静逸大床房（徕芬吹风机+助眠双枕）,对望·都市静逸大床房（徕芬吹风机+助眠双枕） 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc1n12000cb3idvk54F3_R_600_600_R5_D.jpg_.webp,北京路147号1楼
云曼轻奢酒店(昆明学院富康城购物中心店),3,80314494,4.7,"1,025条点评",超棒,¥115,¥242,云宿·悦享雅致大床房（金可儿床垫+智能客控+茶桌）,云宿·悦享雅致大床房（金可儿床垫+智能客控+茶桌） 1张1.51米大床 [免费取消],https://dimg04.c-ctrip.com/images/02031120008xrgjza16E7_R_600_600_R5_D.jpg_.webp,阿拉街道浦新路骏信国际汽配城一期A4幢2楼
启帆酒店(昆明火车站环城南路地铁站店),3,1406094,4.6,706条点评,很好,¥178,¥245,途居丨曼享大床房【干湿分离＋亲肤布草＋全屋采光】,途居丨曼享大床房【干湿分离＋亲肤布草＋全屋采光】 1张1.8米大床 [免费取消; 包早餐],https://dimg04.c-ctrip.com/images/1mc1a12000szupwns9504_R_600_600_R5_D.jpg_.webp,春城路189号
926嘉邸酒店(昆明火车站双桥夜市店),2,133913238,4.4,196条点评,,¥130,¥208,A.T.HOUSE海棠未眠大床房（一次性马桶垫+干湿分离）,A.T.HOUSE海棠未眠大床房（一次性马桶垫+干湿分离） 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc1912000ryb7dyb303E_R_600_600_R5_D.jpg_.webp,关上街道办事处双桥社区日新路1578号
如家UP华驿国际酒店(昆明长水国际机场店),3,134034244,4.8,358条点评,超棒,¥176,¥239,【UP简眠大床房】智能马桶+语音客控+零压床垫,【UP简眠大床房】智能马桶+语音客控+零压床垫 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/0204l12000rzv917fCD94_R_600_600_R5_D.jpg_.webp,长水街道办事处板桥社区居委会云桥医院东北约400米
昆明悦泊酒店(昆明老街南屏步行街店),2,60667173,4.6,953条点评,很好,¥269,¥599,四合院舒适大床房,四合院舒适大床房 1张1.8米大床 [订单确认后30分钟内免费取消],https://dimg04.c-ctrip.com/images/200u1g000001hat6w2A66_R_600_600_R5_D.jpg_.webp,甬道街西卷洞巷1号
龚禧里·GAME电竞酒店(金马碧鸡坊弥勒寺地铁站店),3,79563239,4.6,"1,191条点评",很好,¥193,¥212,普通电竞大床房[RTX4060Ti显卡+傲风电竞椅+2K144hz电竞屏+LOL/Steam特权+雷神加速器]+冰箱+新风系统,普通电竞大床房[RTX4060Ti显卡+傲风电竞椅+2K144hz电竞屏+LOL/Steam特权+雷神加速器]+冰箱+新风系统 1张1.5米双人床 [免费取消; 包早餐],https://dimg04.c-ctrip.com/images/0203p120009kjx3v9BA10_R_600_600_R5_D.jpg_.webp,西坝路22号
随云居loft潮奢精品美宿(万达双塔店),2,113357045,4.7,766条点评,超棒,¥150,¥294,云享LOFT城景豪华榻榻米大床房（空调+洗衣机+冰箱+电动晾衣架+液晶电视+榻榻米茶具）,云享LOFT城景豪华榻榻米大床房（空调+洗衣机+冰箱+电动晾衣架+液晶电视+榻榻米茶具） 1张1.8米大床 [订单确认后30分钟内免费取消],https://dimg04.c-ctrip.com/images/1mc0k12000di9szxo9B7F_R_600_600_R5_D.jpg_.webp,南博路3号复地云极云邸苑1栋19层1935
云南滇池温泉花园国际大酒店,4,425858,4.6,"2,308条点评",很好,¥458,,温馨双床房（观景阳台）,温馨双床房（观景阳台） 2张1.2米单人床 [免费取消],https://dimg04.c-ctrip.com/images/1mc6e12000npi552c1055_R_600_600_R5_D.jpg_.webp,滇池路1316号
滇屿·云境度假酒店(昆明滇池南亚风情第壹城店),4,129731723,4.8,"1,867条点评",超棒,¥399,¥493,滇居·静舍大床房（全屋智能客控|精油加湿器）,滇居·静舍大床房（全屋智能客控|精油加湿器） 1张1.8米大床 [订单确认后1小时内免费取消],https://dimg04.c-ctrip.com/images/1mc6o12000sghzohs5E6E_R_600_600_R5_D.jpg_.webp,长青路绿地海珀澜庭广场二期6幢101
宜尚酒店(昆明高铁南站大学城店),4,134186105,4.8,315条点评,超棒,¥228,¥458,Cool高空·景观大床房（65寸电视投屏+迷你小冰箱）,Cool高空·景观大床房（65寸电视投屏+迷你小冰箱） 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc0912000s5trf6dA3B8_R_600_600_R5_D.jpg_.webp,韶光街113号涌鑫哈佛昆明之窗4栋
